,Teamname,Tournament,Username
562,Cincinnati Revolution,AUDL 2014,Will Huf
563,Cincinnati Revolution,AUDL 2016,Xavier P
564,DC Breeze,AUDL 2014,AJ J
565,DC Breeze,AUDL 2018,Aaron L
566,DC Breeze,AUDL 2014,Aaron R
567,DC Breeze,AUDL 2016,Alan K
568,DC Breeze,AUDL 2017,Alan K
569,DC Breeze,AUDL 2018,Alex F
570,DC Breeze,AUDL 2015,Alex J
571,DC Breeze,AUDL 2016,Alex J
572,DC Breeze,AUDL 2018,Alex L
573,DC Breeze,AUDL 2014,Alex T
574,DC Breeze,AUDL 2015,Andrew A
575,DC Breeze,AUDL 2016,Andrew A
576,DC Breeze,AUDL 2015,Anthon M
577,DC Breeze,AUDL 2016,Anthon M
578,DC Breeze,AUDL 2015,Antoin D
579,DC Breeze,AUDL 2017,Austin B
580,DC Breeze,AUDL 2018,Austin B
581,DC Breeze,AUDL 2014,Ben F
582,DC Breeze,AUDL 2015,Ben F
583,DC Breeze,AUDL 2016,Ben F
584,DC Breeze,AUDL 2018,Ben P
585,DC Breeze,AUDL 2016,Ben S
586,DC Breeze,AUDL 2016,Bob L
587,DC Breeze,AUDL 2014,Brad S
588,DC Breeze,AUDL 2015,Brad S
589,DC Breeze,AUDL 2016,Brad S
590,DC Breeze,AUDL 2018,Brad S
591,DC Breeze,AUDL 2014,Brett M
592,DC Breeze,AUDL 2016,Brett M
593,DC Breeze,AUDL 2016,Brian M
594,DC Breeze,AUDL 2017,Brian M
595,DC Breeze,AUDL 2015,Bryant D
596,DC Breeze,AUDL 2015,Chip C
597,DC Breeze,AUDL 2018,Chris B
598,DC Breeze,AUDL 2018,Chris Be
599,DC Breeze,AUDL 2014,Chris K
600,DC Breeze,AUDL 2016,Chuck C
601,DC Breeze,AUDL 2017,Chuck C
602,DC Breeze,AUDL 2015,Clay C
603,DC Breeze,AUDL 2017,Cory B
604,DC Breeze,AUDL 2018,Cory B
605,DC Breeze,AUDL 2014,Dan S
606,DC Breeze,AUDL 2015,Daniel S
607,DC Breeze,AUDL 2014,Danny D
608,DC Breeze,AUDL 2015,David B
609,DC Breeze,AUDL 2016,David B
610,DC Breeze,AUDL 2017,David B
611,DC Breeze,AUDL 2015,David BK
612,DC Breeze,AUDL 2017,David BK
613,DC Breeze,AUDL 2016,David C
614,DC Breeze,AUDL 2017,David C
615,DC Breeze,AUDL 2017,David S
616,DC Breeze,AUDL 2018,David S
617,DC Breeze,AUDL 2017,Eric M
618,DC Breeze,AUDL 2018,Eric M
619,DC Breeze,AUDL 2014,Franci H
620,DC Breeze,AUDL 2015,Franci H
621,DC Breeze,AUDL 2018,Gabe W
622,DC Breeze,AUDL 2015,Glenn P
623,DC Breeze,AUDL 2018,Houst P
624,DC Breeze,AUDL 2014,Jarnai B
625,DC Breeze,AUDL 2015,Jarnai B
626,DC Breeze,AUDL 2016,Jeff W
627,DC Breeze,AUDL 2017,Jeff W
628,DC Breeze,AUDL 2018,Jeff W
629,DC Breeze,AUDL 2015,Jim B
630,DC Breeze,AUDL 2017,Joe F
631,DC Breeze,AUDL 2017,Joe R
632,DC Breeze,AUDL 2018,Joe R
633,DC Breeze,AUDL 2016,John A
634,DC Breeze,AUDL 2017,John A
635,DC Breeze,AUDL 2016,John H
636,DC Breeze,AUDL 2017,John W
637,DC Breeze,AUDL 2018,John W
638,DC Breeze,AUDL 2014,Jon N
639,DC Breeze,AUDL 2016,Jon N
640,DC Breeze,AUDL 2017,Jon N
641,DC Breeze,AUDL 2014,Jon P
642,DC Breeze,AUDL 2015,Jon P
643,DC Breeze,AUDL 2016,Jon P
644,DC Breeze,AUDL 2014,Jon S
645,DC Breeze,AUDL 2017,Jonny M
646,DC Breeze,AUDL 2018,Jonny M
647,DC Breeze,AUDL 2014,Jose M
648,DC Breeze,AUDL 2014,Josh N
649,DC Breeze,AUDL 2014,Justin S
650,DC Breeze,AUDL 2017,Justin S
651,DC Breeze,AUDL 2017,Keven M
652,DC Breeze,AUDL 2016,Kyle J
653,DC Breeze,AUDL 2015,Kyle K
654,DC Breeze,AUDL 2018,Kyle K
655,DC Breeze,AUDL 2015,Leo P
656,DC Breeze,AUDL 2018,Leo P
657,DC Breeze,AUDL 2014,Liam S
658,DC Breeze,AUDL 2017,Lloyd B
659,DC Breeze,AUDL 2018,Lloyd B
660,DC Breeze,AUDL 2014,Logan R
661,DC Breeze,AUDL 2017,Marcus T
662,DC Breeze,AUDL 2018,Marcus T
663,DC Breeze,AUDL 2015,Mark F
664,DC Breeze,AUDL 2014,Mark L
665,DC Breeze,AUDL 2016,Markha S
666,DC Breeze,AUDL 2017,Markha S
667,DC Breeze,AUDL 2015,Matt K
668,DC Breeze,AUDL 2016,Matt K
669,DC Breeze,AUDL 2017,Matt K
670,DC Breeze,AUDL 2018,Matt K
671,DC Breeze,AUDL 2018,Matt N
672,DC Breeze,AUDL 2014,Matt R
673,DC Breeze,AUDL 2015,Matt R
674,DC Breeze,AUDL 2016,Matt R
675,DC Breeze,AUDL 2016,Max C
676,DC Breeze,AUDL 2017,Max C
677,DC Breeze,AUDL 2018,Max C
678,DC Breeze,AUDL 2015,Mike M
679,DC Breeze,AUDL 2016,Nate C
680,DC Breeze,AUDL 2017,Nate C
681,DC Breeze,AUDL 2018,Nate C
682,DC Breeze,AUDL 2018,Nate P
683,DC Breeze,AUDL 2017,Nathan P
684,DC Breeze,AUDL 2016,Nicky S
685,DC Breeze,AUDL 2015,Nico L
686,DC Breeze,AUDL 2016,Nico L
687,DC Breeze,AUDL 2016,Pete M
688,DC Breeze,AUDL 2014,Peter A
689,DC Breeze,AUDL 2015,Peter A
690,DC Breeze,AUDL 2015,Peter M
691,DC Breeze,AUDL 2018,Peter M
692,DC Breeze,AUDL 2018,Quinn B
693,DC Breeze,AUDL 2018,Rhys B
694,DC Breeze,AUDL 2017,Rico J
695,DC Breeze,AUDL 2018,Rico J
696,DC Breeze,AUDL 2016,Rowan M
697,DC Breeze,AUDL 2017,Rowan M
698,DC Breeze,AUDL 2018,Rowen M
699,DC Breeze,AUDL 2014,Russ H
700,DC Breeze,AUDL 2015,Russ H
701,DC Breeze,AUDL 2016,Russ H
702,DC Breeze,AUDL 2014,Ryan N
703,DC Breeze,AUDL 2017,Ryan N
704,DC Breeze,AUDL 2017,Ryan S
705,DC Breeze,AUDL 2018,Ryan S
706,DC Breeze,AUDL 2014,Sam T
707,DC Breeze,AUDL 2015,Seth C
708,DC Breeze,AUDL 2014,T.J. R
709,DC Breeze,AUDL 2016,Tom D
710,DC Breeze,AUDL 2015,Troy H
711,DC Breeze,AUDL 2017,Troy H
712,DC Breeze,AUDL 2018,Troy H
713,DC Breeze,AUDL 2014,Tyler D
714,DC Breeze,AUDL 2014,Tyler K
715,DC Breeze,AUDL 2016,Tyler M
716,DC Breeze,AUDL 2017,Tyler M
717,DC Breeze,AUDL 2018,Xavier M
718,DC Breeze,AUDL 2015,Zach B
719,DC Breeze,AUDL 2017,Zach N
720,DC Breeze,AUDL 2018,Zach N
721,DC Breeze,AUDL 2017,Zander T
722,Dallas Roughnecks,AUDL 2017,Abe
723,Dallas Roughnecks,AUDL 2017,Ashton
724,Dallas Roughnecks,AUDL 2016,Beau
725,Dallas Roughnecks,AUDL 2016,Ben
726,Dallas Roughnecks,AUDL 2018,Ben R
727,Dallas Roughnecks,AUDL 2018,Blake
728,Dallas Roughnecks,AUDL 2018,Borik
729,Dallas Roughnecks,AUDL 2016,Brodie
730,Dallas Roughnecks,AUDL 2018,C Olson
731,Dallas Roughnecks,AUDL 2018,CLarberg
732,Dallas Roughnecks,AUDL 2018,CUghetta
733,Dallas Roughnecks,AUDL 2018,Carson
734,Dallas Roughnecks,AUDL 2018,Carter
735,Dallas Roughnecks,AUDL 2016,Casey
736,Dallas Roughnecks,AUDL 2017,Casey
737,Dallas Roughnecks,AUDL 2018,Casey
738,Dallas Roughnecks,AUDL 2016,Cassidy
739,Dallas Roughnecks,AUDL 2016,Chris L
740,Dallas Roughnecks,AUDL 2017,Chris L
741,Dallas Roughnecks,AUDL 2016,Chris M
742,Dallas Roughnecks,AUDL 2018,Chris P
743,Dallas Roughnecks,AUDL 2016,Dalton
744,Dallas Roughnecks,AUDL 2017,Dalton
745,Dallas Roughnecks,AUDL 2018,Dalton
746,Dallas Roughnecks,AUDL 2016,Danimal
747,Dallas Roughnecks,AUDL 2017,Danimal
748,Dallas Roughnecks,AUDL 2018,Danimal
749,Dallas Roughnecks,AUDL 2016,Darroh
750,Dallas Roughnecks,AUDL 2017,Dillon
751,Dallas Roughnecks,AUDL 2018,Dillon
752,Dallas Roughnecks,AUDL 2016,Dillon L
753,Dallas Roughnecks,AUDL 2016,Dylan
754,Dallas Roughnecks,AUDL 2017,Dylan
755,Dallas Roughnecks,AUDL 2018,E-Bay
756,Dallas Roughnecks,AUDL 2017,Gabe
757,Dallas Roughnecks,AUDL 2018,Griffin
758,Dallas Roughnecks,AUDL 2018,Henry
759,Dallas Roughnecks,AUDL 2017,Hudspith
760,Dallas Roughnecks,AUDL 2017,Jack
761,Dallas Roughnecks,AUDL 2018,Jack W
762,Dallas Roughnecks,AUDL 2016,Jake
763,Dallas Roughnecks,AUDL 2017,Jake
764,Dallas Roughnecks,AUDL 2016,Jake A
765,Dallas Roughnecks,AUDL 2017,Jason
766,Dallas Roughnecks,AUDL 2017,Jay
767,Dallas Roughnecks,AUDL 2018,Jay
768,Dallas Roughnecks,AUDL 2016,Jeremy
769,Dallas Roughnecks,AUDL 2016,Jimmy
770,Dallas Roughnecks,AUDL 2017,Jimmy
771,Dallas Roughnecks,AUDL 2018,Joe C
772,Dallas Roughnecks,AUDL 2018,Joe T
773,Dallas Roughnecks,AUDL 2017,Joel
774,Dallas Roughnecks,AUDL 2018,Joel
775,Dallas Roughnecks,AUDL 2018,K Bow
776,Dallas Roughnecks,AUDL 2018,K Rich
777,Dallas Roughnecks,AUDL 2016,Kai
778,Dallas Roughnecks,AUDL 2017,Kai
779,Dallas Roughnecks,AUDL 2018,Kai
780,Dallas Roughnecks,AUDL 2018,Kaplan
781,Dallas Roughnecks,AUDL 2016,Kevin
782,Dallas Roughnecks,AUDL 2017,Kevin
783,Dallas Roughnecks,AUDL 2016,Kurt
784,Dallas Roughnecks,AUDL 2017,Kurt
785,Dallas Roughnecks,AUDL 2018,LaRocque
786,Dallas Roughnecks,AUDL 2017,Lewis
787,Dallas Roughnecks,AUDL 2017,Lohre
788,Dallas Roughnecks,AUDL 2016,Matt B
789,Dallas Roughnecks,AUDL 2017,Matt B
790,Dallas Roughnecks,AUDL 2018,Matthew
791,Dallas Roughnecks,AUDL 2016,Matty J
792,Dallas Roughnecks,AUDL 2017,Matty J
793,Dallas Roughnecks,AUDL 2018,Matty J
794,Dallas Roughnecks,AUDL 2017,Mazur
795,Dallas Roughnecks,AUDL 2016,Muffin
796,Dallas Roughnecks,AUDL 2017,Muffin
797,Dallas Roughnecks,AUDL 2018,Muffin
798,Dallas Roughnecks,AUDL 2018,Noah
799,Dallas Roughnecks,AUDL 2016,Patrick
800,Dallas Roughnecks,AUDL 2017,Patrick
801,Dallas Roughnecks,AUDL 2017,Paul
802,Dallas Roughnecks,AUDL 2018,Peter
803,Dallas Roughnecks,AUDL 2018,Reese
804,Dallas Roughnecks,AUDL 2016,Reid
805,Dallas Roughnecks,AUDL 2017,Reid
806,Dallas Roughnecks,AUDL 2018,Reid
807,Dallas Roughnecks,AUDL 2016,Riggins
808,Dallas Roughnecks,AUDL 2018,Riggins
809,Dallas Roughnecks,AUDL 2018,Ryan
810,Dallas Roughnecks,AUDL 2016,Stanley
811,Dallas Roughnecks,AUDL 2017,Stanley
812,Dallas Roughnecks,AUDL 2017,Steven
813,Dallas Roughnecks,AUDL 2018,Suds
814,Dallas Roughnecks,AUDL 2016,Ted
815,Dallas Roughnecks,AUDL 2016,Thomas
816,Dallas Roughnecks,AUDL 2017,Thomas
817,Dallas Roughnecks,AUDL 2018,Thomas
818,Dallas Roughnecks,AUDL 2018,Wesley
819,Dallas Roughnecks,AUDL 2016,Yetti
820,Dallas Roughnecks,AUDL 2017,Yetti
821,Dallas Roughnecks,AUDL 2017,Zach
822,Dallas Roughnecks,AUDL 2018,Zach M
823,Detroit Mechanix,AUDL 2016,Abela
824,Detroit Mechanix,AUDL 2014,Abela- John
825,Detroit Mechanix,AUDL 2016,Adnan
826,Detroit Mechanix,AUDL 2017,Adnan
827,Detroit Mechanix,AUDL 2015,Alex
828,Detroit Mechanix,AUDL 2014,Alex B
829,Detroit Mechanix,AUDL 2018,Andy
830,Detroit Mechanix,AUDL 2017,Austin
831,Detroit Mechanix,AUDL 2016,BK
832,Detroit Mechanix,AUDL 2016,BT
833,Detroit Mechanix,AUDL 2014,Barnhart- Andy
834,Detroit Mechanix,AUDL 2014,Barnhart- Zach
835,Detroit Mechanix,AUDL 2018,Basten
836,Detroit Mechanix,AUDL 2014,Bertoia
837,Detroit Mechanix,AUDL 2015,Besser
838,Detroit Mechanix,AUDL 2016,Besser
839,Detroit Mechanix,AUDL 2018,Besser
840,Detroit Mechanix,AUDL 2014,Besser- Joe
841,Detroit Mechanix,AUDL 2017,Billy
842,Detroit Mechanix,AUDL 2018,Billy
843,Detroit Mechanix,AUDL 2016,Bobby
844,Detroit Mechanix,AUDL 2017,Bobby
845,Detroit Mechanix,AUDL 2017,Bones
846,Detroit Mechanix,AUDL 2017,Brendan
847,Detroit Mechanix,AUDL 2018,Brendan
848,Detroit Mechanix,AUDL 2017,Bubbles
849,Detroit Mechanix,AUDL 2018,Bubbles
850,Detroit Mechanix,AUDL 2016,Burke
851,Detroit Mechanix,AUDL 2017,Burke
852,Detroit Mechanix,AUDL 2018,Burke
853,Detroit Mechanix,AUDL 2015,Bush
854,Detroit Mechanix,AUDL 2015,Channing
855,Detroit Mechanix,AUDL 2016,Channing
856,Detroit Mechanix,AUDL 2018,Channing
857,Detroit Mechanix,AUDL 2017,Charlie
858,Detroit Mechanix,AUDL 2014,Chen- Dafeng
859,Detroit Mechanix,AUDL 2015,Chris
860,Detroit Mechanix,AUDL 2017,Chris
861,Detroit Mechanix,AUDL 2018,Chris
862,Detroit Mechanix,AUDL 2017,Coley
863,Detroit Mechanix,AUDL 2016,Colin
864,Detroit Mechanix,AUDL 2018,Colucci
865,Detroit Mechanix,AUDL 2016,Compo
866,Detroit Mechanix,AUDL 2018,Compo
867,Detroit Mechanix,AUDL 2015,Coulter
868,Detroit Mechanix,AUDL 2018,D Yu
869,Detroit Mechanix,AUDL 2015,Dafeng
870,Detroit Mechanix,AUDL 2017,Dagher
871,Detroit Mechanix,AUDL 2017,Dan D
872,Detroit Mechanix,AUDL 2014,Danks- David
873,Detroit Mechanix,AUDL 2015,Danny
874,Detroit Mechanix,AUDL 2016,Danny
875,Detroit Mechanix,AUDL 2017,Danny
876,Detroit Mechanix,AUDL 2018,Danny
877,Detroit Mechanix,AUDL 2018,David
878,Detroit Mechanix,AUDL 2016,Del
879,Detroit Mechanix,AUDL 2017,Del
880,Detroit Mechanix,AUDL 2015,Del Real
881,Detroit Mechanix,AUDL 2014,Del Real- Aaron
882,Detroit Mechanix,AUDL 2016,Donovan
883,Detroit Mechanix,AUDL 2018,Drew
884,Detroit Mechanix,AUDL 2016,Dutch
885,Detroit Mechanix,AUDL 2017,Dutch
886,Detroit Mechanix,AUDL 2018,Evan
887,Detroit Mechanix,AUDL 2017,Gary
888,Detroit Mechanix,AUDL 2015,Gerald
889,Detroit Mechanix,AUDL 2015,Gilson
890,Detroit Mechanix,AUDL 2016,Gilson
891,Detroit Mechanix,AUDL 2017,Graber
892,Detroit Mechanix,AUDL 2016,Grant
893,Detroit Mechanix,AUDL 2017,Griffin
894,Detroit Mechanix,AUDL 2014,Hochhalter- David
895,Detroit Mechanix,AUDL 2015,Hubbard
896,Detroit Mechanix,AUDL 2016,Hubbard
897,Detroit Mechanix,AUDL 2017,Hubbard
898,Detroit Mechanix,AUDL 2014,Hubbard- Eric
899,Detroit Mechanix,AUDL 2014,Hughes- Evan
900,Detroit Mechanix,AUDL 2014,Hunt- Danny
901,Detroit Mechanix,AUDL 2017,J
902,Detroit Mechanix,AUDL 2017,JB
903,Detroit Mechanix,AUDL 2015,Jager
904,Detroit Mechanix,AUDL 2014,Jaskiewicz- Jason
905,Detroit Mechanix,AUDL 2018,Jay
906,Detroit Mechanix,AUDL 2016,Jimmy
907,Detroit Mechanix,AUDL 2017,Johnny
908,Detroit Mechanix,AUDL 2014,Jones- Monte
909,Detroit Mechanix,AUDL 2017,Josh
910,Detroit Mechanix,AUDL 2018,Josh
911,Detroit Mechanix,AUDL 2017,Jowy
912,Detroit Mechanix,AUDL 2017,Justin
913,Detroit Mechanix,AUDL 2018,Justin
914,Detroit Mechanix,AUDL 2018,Karl
915,Detroit Mechanix,AUDL 2017,Kevin
916,Detroit Mechanix,AUDL 2018,Kevin
917,Detroit Mechanix,AUDL 2015,Kirk
918,Detroit Mechanix,AUDL 2015,Krantz
919,Detroit Mechanix,AUDL 2014,Krantz- Patrick
920,Detroit Mechanix,AUDL 2014,Laursen- Bjarne
921,Detroit Mechanix,AUDL 2017,Lee
922,Detroit Mechanix,AUDL 2018,Leslie
923,Detroit Mechanix,AUDL 2017,Licki
924,Detroit Mechanix,AUDL 2016,Lim
925,Detroit Mechanix,AUDL 2017,Lindberg
926,Detroit Mechanix,AUDL 2015,Luca
927,Detroit Mechanix,AUDL 2016,Luca
928,Detroit Mechanix,AUDL 2017,Luca
929,Detroit Mechanix,AUDL 2014,Lucarotti- Andrew
930,Detroit Mechanix,AUDL 2018,Luis
931,Detroit Mechanix,AUDL 2014,Lukas- Connor
932,Detroit Mechanix,AUDL 2014,Mansfield- Mike
933,Detroit Mechanix,AUDL 2017,Mark
934,Detroit Mechanix,AUDL 2018,Mark
935,Detroit Mechanix,AUDL 2016,Murph
936,Detroit Mechanix,AUDL 2015,Murphy
937,Detroit Mechanix,AUDL 2017,Murphy
938,Detroit Mechanix,AUDL 2014,Murphy- Ben
939,Detroit Mechanix,AUDL 2017,Nicholl
940,Detroit Mechanix,AUDL 2018,Noah
941,Detroit Mechanix,AUDL 2018,Nolan
942,Detroit Mechanix,AUDL 2014,Osborn- Cole
943,Detroit Mechanix,AUDL 2014,Osborn- Ross
944,Detroit Mechanix,AUDL 2017,Parker
945,Detroit Mechanix,AUDL 2018,Parker
946,Detroit Mechanix,AUDL 2014,Peltier- Mat
947,Detroit Mechanix,AUDL 2015,Perdulla
948,Detroit Mechanix,AUDL 2016,Pinecone
949,Detroit Mechanix,AUDL 2018,Pip
950,Detroit Mechanix,AUDL 2016,Priest
951,Detroit Mechanix,AUDL 2017,Rauls
952,Detroit Mechanix,AUDL 2016,Rio
953,Detroit Mechanix,AUDL 2017,Rio
954,Detroit Mechanix,AUDL 2018,Rio
955,Detroit Mechanix,AUDL 2017,Rooster
956,Detroit Mechanix,AUDL 2018,Ryan
957,Detroit Mechanix,AUDL 2015,Saltsman
958,Detroit Mechanix,AUDL 2015,Sandberg
959,Detroit Mechanix,AUDL 2014,Schwalm- Brendan
960,Detroit Mechanix,AUDL 2015,Scott
961,Detroit Mechanix,AUDL 2018,Shrew
962,Detroit Mechanix,AUDL 2016,Skunk
963,Detroit Mechanix,AUDL 2017,Skunk
964,Detroit Mechanix,AUDL 2016,Sluka
965,Detroit Mechanix,AUDL 2017,Sluka
966,Detroit Mechanix,AUDL 2014,Smith- Alex
967,Detroit Mechanix,AUDL 2015,Soldini
968,Detroit Mechanix,AUDL 2014,Soldini- Marc
969,Detroit Mechanix,AUDL 2015,Souichi
970,Detroit Mechanix,AUDL 2016,Sparky
971,Detroit Mechanix,AUDL 2017,Sparky
972,Detroit Mechanix,AUDL 2014,Stagg- Logan
973,Detroit Mechanix,AUDL 2016,Stitch
974,Detroit Mechanix,AUDL 2014,Sullivan- Joe
975,Detroit Mechanix,AUDL 2015,Takashi
976,Detroit Mechanix,AUDL 2016,Tang
977,Detroit Mechanix,AUDL 2017,Tang
978,Detroit Mechanix,AUDL 2016,Tarik
979,Detroit Mechanix,AUDL 2018,Tate
980,Detroit Mechanix,AUDL 2018,Tim
981,Detroit Mechanix,AUDL 2015,Todd
982,Detroit Mechanix,AUDL 2017,Tom
983,Detroit Mechanix,AUDL 2018,Tom
984,Detroit Mechanix,AUDL 2018,Trey
985,Detroit Mechanix,AUDL 2018,Troy
986,Detroit Mechanix,AUDL 2014,Tyler B
987,Detroit Mechanix,AUDL 2014,Wadaga- Andrew
988,Detroit Mechanix,AUDL 2015,Wasdi
989,Detroit Mechanix,AUDL 2016,Wasdi
990,Detroit Mechanix,AUDL 2014,Weber- Mike
991,Detroit Mechanix,AUDL 2016,Wes
992,Detroit Mechanix,AUDL 2018,Wes
993,Detroit Mechanix,AUDL 2016,Whitton
994,Detroit Mechanix,AUDL 2017,X
995,Detroit Mechanix,AUDL 2018,X
996,Detroit Mechanix,AUDL 2017,Yergin
997,Detroit Mechanix,AUDL 2018,Yergin
998,Detroit Mechanix,AUDL 2018,Zach
999,Indianapolis AlleyCats,AUDL 2018,Aaron S
1000,Indianapolis AlleyCats,AUDL 2017,Alex
1001,Indianapolis AlleyCats,AUDL 2018,Alex H
1002,Indianapolis AlleyCats,AUDL 2014,Alex H.
1003,Indianapolis AlleyCats,AUDL 2017,Ames
1004,Indianapolis AlleyCats,AUDL 2015,Ames M
1005,Indianapolis AlleyCats,AUDL 2016,Ames M
1006,Indianapolis AlleyCats,AUDL 2014,An Toine
1007,Indianapolis AlleyCats,AUDL 2016,Anker C
1008,Indianapolis AlleyCats,AUDL 2018,Austin A
1009,Indianapolis AlleyCats,AUDL 2014,Ben G.
1010,Indianapolis AlleyCats,AUDL 2014,Blake V.
1011,Indianapolis AlleyCats,AUDL 2014,Brian V.
1012,Indianapolis AlleyCats,AUDL 2015,Brock C
1013,Indianapolis AlleyCats,AUDL 2016,Brock C
1014,Indianapolis AlleyCats,AUDL 2017,Cam
1015,Indianapolis AlleyCats,AUDL 2018,Cam B
1016,Indianapolis AlleyCats,AUDL 2014,Cam B.
1017,Indianapolis AlleyCats,AUDL 2016,Cari J
1018,Indianapolis AlleyCats,AUDL 2015,Carlet P
1019,Indianapolis AlleyCats,AUDL 2016,Carlet P
1020,Indianapolis AlleyCats,AUDL 2015,Carpen T
1021,Indianapolis AlleyCats,AUDL 2016,Carpen T
1022,Indianapolis AlleyCats,AUDL 2015,Cecil J
1023,Indianapolis AlleyCats,AUDL 2015,Cheek J
1024,Indianapolis AlleyCats,AUDL 2014,Chris E.
1025,Indianapolis AlleyCats,AUDL 2017,Colin
1026,Indianapolis AlleyCats,AUDL 2018,Colin R
1027,Indianapolis AlleyCats,AUDL 2017,Colton
1028,Indianapolis AlleyCats,AUDL 2018,Colton S
1029,Indianapolis AlleyCats,AUDL 2017,Conner
1030,Indianapolis AlleyCats,AUDL 2018,Conner H
1031,Indianapolis AlleyCats,AUDL 2018,Connor L
1032,Indianapolis AlleyCats,AUDL 2017,Cox
1033,Indianapolis AlleyCats,AUDL 2015,Cox K
1034,Indianapolis AlleyCats,AUDL 2016,Cox K
1035,Indianapolis AlleyCats,AUDL 2014,DVE
1036,Indianapolis AlleyCats,AUDL 2014,Dan B.
1037,Indianapolis AlleyCats,AUDL 2018,Dan C
1038,Indianapolis AlleyCats,AUDL 2017,Dana
1039,Indianapolis AlleyCats,AUDL 2014,Dane L.
1040,Indianapolis AlleyCats,AUDL 2017,Danger
1041,Indianapolis AlleyCats,AUDL 2015,Dehnbo M
1042,Indianapolis AlleyCats,AUDL 2014,Donova T
1043,Indianapolis AlleyCats,AUDL 2018,Donova T
1044,Indianapolis AlleyCats,AUDL 2017,Donovan
1045,Indianapolis AlleyCats,AUDL 2014,Eric J
1046,Indianapolis AlleyCats,AUDL 2016,Fella J
1047,Indianapolis AlleyCats,AUDL 2016,Ginet C
1048,Indianapolis AlleyCats,AUDL 2016,Granho D
1049,Indianapolis AlleyCats,AUDL 2015,Gross R
1050,Indianapolis AlleyCats,AUDL 2016,Gross R
1051,Indianapolis AlleyCats,AUDL 2016,Groth W
1052,Indianapolis AlleyCats,AUDL 2017,Heath
1053,Indianapolis AlleyCats,AUDL 2018,Heath K
1054,Indianapolis AlleyCats,AUDL 2015,Hights S
1055,Indianapolis AlleyCats,AUDL 2016,Hortem D
1056,Indianapolis AlleyCats,AUDL 2015,Hutton N
1057,Indianapolis AlleyCats,AUDL 2016,Hutton N
1058,Indianapolis AlleyCats,AUDL 2015,Jacobs L
1059,Indianapolis AlleyCats,AUDL 2016,Jacobs L
1060,Indianapolis AlleyCats,AUDL 2018,Jake F
1061,Indianapolis AlleyCats,AUDL 2014,Jared P.
1062,Indianapolis AlleyCats,AUDL 2017,Jarvis
1063,Indianapolis AlleyCats,AUDL 2015,Jarvis R
1064,Indianapolis AlleyCats,AUDL 2016,Jarvis R
1065,Indianapolis AlleyCats,AUDL 2014,Jason C.
1066,Indianapolis AlleyCats,AUDL 2014,Jason Y.
1067,Indianapolis AlleyCats,AUDL 2017,Jesse
1068,Indianapolis AlleyCats,AUDL 2018,Jesse J
1069,Indianapolis AlleyCats,AUDL 2017,Joey
1070,Indianapolis AlleyCats,AUDL 2018,Joey C
1071,Indianapolis AlleyCats,AUDL 2014,Joey C.
1072,Indianapolis AlleyCats,AUDL 2017,John J
1073,Indianapolis AlleyCats,AUDL 2018,John J
1074,Indianapolis AlleyCats,AUDL 2015,Johnso E
1075,Indianapolis AlleyCats,AUDL 2018,Jon W
1076,Indianapolis AlleyCats,AUDL 2016,Jones J
1077,Indianapolis AlleyCats,AUDL 2017,Josh
1078,Indianapolis AlleyCats,AUDL 2018,Josh D
1079,Indianapolis AlleyCats,AUDL 2016,Kalaba H
1080,Indianapolis AlleyCats,AUDL 2016,Kasprz W
1081,Indianapolis AlleyCats,AUDL 2018,Keegan N
1082,Indianapolis AlleyCats,AUDL 2017,Keenan
1083,Indianapolis AlleyCats,AUDL 2014,Keenan P
1084,Indianapolis AlleyCats,AUDL 2018,Keenan P
1085,Indianapolis AlleyCats,AUDL 2018,Keggan N
1086,Indianapolis AlleyCats,AUDL 2017,Kip
1087,Indianapolis AlleyCats,AUDL 2018,Kip C
1088,Indianapolis AlleyCats,AUDL 2017,Kobyra
1089,Indianapolis AlleyCats,AUDL 2018,Kyle C
1090,Indianapolis AlleyCats,AUDL 2014,Kyle C.
1091,Indianapolis AlleyCats,AUDL 2017,Levi
1092,Indianapolis AlleyCats,AUDL 2018,Levi J
1093,Indianapolis AlleyCats,AUDL 2014,Levi J.
1094,Indianapolis AlleyCats,AUDL 2015,Loscar S
1095,Indianapolis AlleyCats,AUDL 2016,Loscar S
1096,Indianapolis AlleyCats,AUDL 2014,Luke B.
1097,Indianapolis AlleyCats,AUDL 2015,Maynar Z
1098,Indianapolis AlleyCats,AUDL 2016,McCart C
1099,Indianapolis AlleyCats,AUDL 2018,Michae A
1100,Indianapolis AlleyCats,AUDL 2014,Mike M.
1101,Indianapolis AlleyCats,AUDL 2015,Naji S
1102,Indianapolis AlleyCats,AUDL 2014,Nate P.
1103,Indianapolis AlleyCats,AUDL 2018,Nathan B
1104,Indianapolis AlleyCats,AUDL 2016,Ng M
1105,Indianapolis AlleyCats,AUDL 2017,Nick
1106,Indianapolis AlleyCats,AUDL 2018,Nick H
1107,Indianapolis AlleyCats,AUDL 2014,Nick H.
1108,Indianapolis AlleyCats,AUDL 2015,Page N
1109,Indianapolis AlleyCats,AUDL 2016,Page N
1110,Indianapolis AlleyCats,AUDL 2018,Peter C
1111,Indianapolis AlleyCats,AUDL 2014,Peter C.
1112,Indianapolis AlleyCats,AUDL 2015,Plew K
1113,Indianapolis AlleyCats,AUDL 2016,Plew K
