,Unnamed: 0,Teamname,Tournament,Username,PlayerName,Suggestion1,Suggestion2,Suggestion3
0,0,Atlanta Hustle,AUDL 2015,A Olsen,Anders Olsen,Anders Olsen,Christian Olsen,Josh Feng
1,1,Atlanta Hustle,AUDL 2016,A Olsen,Anders Olsen,Anders Olsen,Christian Olsen,Sam Little
2,2,Atlanta Hustle,AUDL 2017,A Olsen,Anders Olsen,Anders Olsen,Christian Olsen,Max Leonard
3,3,Atlanta Hustle,AUDL 2018,A Olsen,Anders Olsen,Anders Olsen,Christian Olsen,Danny On
4,4,Atlanta Hustle,AUDL 2016,A Taylor,Austin Taylor,Austin Taylor,Taylor Goforth,Parker Bray
5,5,Atlanta Hustle,AUDL 2017,A Taylor,Austin Taylor,Austin Taylor,Taylor Goforth,Parker Bray
6,6,Atlanta Hustle,AUDL 2018,A Taylor,Austin Taylor,Austin Taylor,Taylor Minch,Tyler French
7,7,Atlanta Hustle,AUDL 2015,Allan L,Allan Laviolette,Allan Laviolette,Dylan Tunnell,Byron Liu
8,8,Atlanta Hustle,AUDL 2016,Allan L,Allan Laviolette,Allan Laviolette,Dylan Tunnell,Yusuf Abdullah
9,9,Atlanta Hustle,AUDL 2017,Allan L,Allan Laviolette,Allan Laviolette,Dylan Tunnell,Yusuf Abdullah
10,10,Atlanta Hustle,AUDL 2018,Allan L,Allan Laviolette,Allan Laviolette,Danny On,Yusuf Abdullah
11,11,Atlanta Hustle,AUDL 2015,Archie,Ryan Archibald,Ryan Archibald,Brian Moore,Jack Krieger
12,12,Atlanta Hustle,AUDL 2016,Archie,Ryan Archibald,Ryan Archibald,Will Carmichael,
13,13,Atlanta Hustle,AUDL 2017,Archie,Ryan Archibald,Ryan Archibald,Martin Newman,
14,14,Atlanta Hustle,AUDL 2015,B Hannah,Blake Hannah,Blake Hannah,Sean Sears,Ryan James
15,15,Atlanta Hustle,AUDL 2015,B. Liu,Byron Liu,Byron Liu,Ben Breault,
16,16,Atlanta Hustle,AUDL 2015,B. Moore,Brian Moore,Brian Moore,Mark Poole,Ben Breault
17,17,Atlanta Hustle,AUDL 2018,Batson,Sam Batson,Sam Batson,Mason Cary,Jason Crowe
18,18,Atlanta Hustle,AUDL 2016,Berendes,David Berendes,David Berendes,JP Burns,Sean Sears
19,19,Atlanta Hustle,AUDL 2018,Big Mike,Mike Tillotson,Mike Tillotson,Sam Gainer,Taylor Minch
20,20,Atlanta Hustle,AUDL 2016,Birdsong,Stan Birdsong,Stan Birdsong,Elliott Erickson,Evan Boecking
