,Year,Name,Teamname,Goals,Catches,Drops,Assists,Throws,Completions,Throwaways,Throws Dropped,Throws Recorded with Yardage,Fouls Against,Stalls,Blocks,Callahans,Pulls,Pulls (Out-of-bounds),Pulls Recorded with Yardage,Pulls (Inbounds) Recorded with Yardage,Throwing Yards,Lateral Throwing Yards,Forward Throwing Yards,Pull Yards,Pull Yards (Inbounds),Completion Percentage,Catches Per Goals,Throws Per Assist,Throwaway Percentage,Drop Percentage,Yards Per Throw,Yards Per Pull,Yards Per Pull (Inbounds)
627,AUDL 2015,Dustin Travaglini,Jacksonville Cannons,1.0,177.0,0.0,15.0,251.0,227.0,22.0,2.0,0.0,0.0,0.0,12.0,0.0,164.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.43824701195219,177.0,16.733333333333334,0.08764940239043825,0.0,0.0,0.0,0.0
629,AUDL 2015,Dylan Tunnell,Atlanta Hustle,14.0,314.0,1.0,48.0,416.0,377.0,31.0,6.0,0.0,1.0,1.0,8.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.625,22.428571428571427,8.666666666666666,0.07451923076923077,0.0031746031746031746,0.0,0.0,0.0
630,AUDL 2015,Dylan Welchman,Charlotte Express,8.0,88.0,3.0,6.0,81.0,75.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5925925925926,11.0,13.5,0.04938271604938271,0.03296703296703297,0.0,0.0,0.0
631,AUDL 2015,Ed Fox,Charlotte Express,1.0,173.0,1.0,12.0,243.0,225.0,10.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5925925925926,173.0,20.25,0.0411522633744856,0.005747126436781609,0.0,0.0,0.0
632,AUDL 2015,Ed Melo,Los Angeles Aviators,2.0,113.0,0.0,8.0,144.0,135.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75,56.5,18.0,0.0625,0.0,0.0,0.0,0.0
633,AUDL 2015,Eddie Mack,Cincinnati Revolution,18.0,418.0,5.0,25.0,449.0,423.0,20.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.20935412026726,23.22222222222222,17.96,0.044543429844097995,0.01182033096926714,0.0,0.0,0.0
634,AUDL 2015,Edward Guo,Vancouver Riptide,25.0,134.0,2.0,12.0,108.0,101.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.51851851851852,5.36,9.0,0.06481481481481481,0.014705882352941176,0.0,0.0,0.0
635,AUDL 2015,Eli Kerns,San Francisco FlameThrowers,17.0,238.0,3.0,32.0,276.0,251.0,22.0,1.0,0.0,0.0,2.0,6.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.94202898550725,14.0,8.625,0.07971014492753623,0.012448132780082987,0.0,0.0,0.0
637,AUDL 2015,Eliot Bemis,New York Empire,14.0,71.0,2.0,3.0,56.0,51.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.07142857142857,5.071428571428571,18.666666666666668,0.08928571428571429,0.0273972602739726,0.0,0.0,0.0
639,AUDL 2015,Eric Brinkman,Cincinnati Revolution,8.0,95.0,1.0,10.0,111.0,97.0,11.0,3.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.38738738738738,11.875,11.1,0.0990990990990991,0.010416666666666666,0.0,0.0,0.0
640,AUDL 2015,Eric Hubbard,Detroit Mechanix,46.0,208.0,5.0,7.0,172.0,163.0,4.0,5.0,0.0,0.0,0.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.76744186046511,4.521739130434782,24.571428571428573,0.023255813953488372,0.023474178403755867,0.0,0.0,0.0
641,AUDL 2015,Eric Johnson,Indianapolis AlleyCats,30.0,145.0,1.0,15.0,119.0,105.0,11.0,3.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529411764706,4.833333333333333,7.933333333333334,0.09243697478991597,0.00684931506849315,0.0,0.0,0.0
642,AUDL 2015,Eric Lissner,Los Angeles Aviators,17.0,226.0,3.0,22.0,224.0,201.0,20.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.73214285714286,13.294117647058824,10.181818181818182,0.08928571428571429,0.013100436681222707,0.0,0.0,0.0
645,AUDL 2015,Eric Olson,Charlotte Express,5.0,362.0,1.0,24.0,424.0,394.0,27.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.9245283018868,72.4,17.666666666666668,0.06367924528301887,0.0027548209366391185,0.0,0.0,0.0
649,AUDL 2015,Ethan Beardsley,Pittsburgh Thunderbirds,72.0,188.0,11.0,8.0,120.0,116.0,2.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.66666666666667,2.611111111111111,15.0,0.016666666666666666,0.05527638190954774,0.0,0.0,0.0
650,AUDL 2015,Ethan Burns,Charlotte Express,13.0,109.0,4.0,7.0,95.0,86.0,7.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.52631578947368,8.384615384615385,13.571428571428571,0.07368421052631578,0.035398230088495575,0.0,0.0,0.0
652,AUDL 2015,Ethan Fortin,Philadelphia Phoenix,1.0,93.0,0.0,2.0,119.0,106.0,9.0,4.0,0.0,0.0,0.0,2.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.07563025210085,93.0,59.5,0.07563025210084033,0.0,0.0,0.0,0.0
653,AUDL 2015,Ethan Peck,Philadelphia Phoenix,8.0,296.0,5.0,38.0,309.0,251.0,49.0,9.0,0.0,0.0,0.0,7.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.22977346278317,37.0,8.131578947368421,0.15857605177993528,0.016611295681063124,0.0,0.0,0.0
654,AUDL 2015,Ethan Rasmussen,Minnesota Wind Chill,10.0,189.0,3.0,16.0,241.0,218.0,22.0,1.0,0.0,0.0,0.0,8.0,0.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.45643153526972,18.9,15.0625,0.0912863070539419,0.015625,0.0,0.0,0.0
655,AUDL 2015,Evan Boucher,San Francisco FlameThrowers,23.0,134.0,3.0,11.0,122.0,114.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.44262295081968,5.826086956521739,11.090909090909092,0.05737704918032787,0.021897810218978103,0.0,0.0,0.0
656,AUDL 2015,Evan Howey,Charlotte Express,12.0,103.0,3.0,11.0,144.0,125.0,15.0,4.0,0.0,0.0,0.0,5.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.80555555555556,8.583333333333334,13.090909090909092,0.10416666666666667,0.02830188679245283,0.0,0.0,0.0
657,AUDL 2015,Federico Chialvo,San Francisco FlameThrowers,13.0,368.0,4.0,25.0,469.0,430.0,35.0,3.0,0.0,1.0,0.0,11.0,0.0,43.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.68443496801706,28.307692307692307,18.76,0.07462686567164178,0.010752688172043012,0.0,0.0,0.0
658,AUDL 2015,Felipe Delgado,Pittsburgh Thunderbirds,12.0,68.0,3.0,6.0,64.0,57.0,6.0,1.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0625,5.666666666666667,10.666666666666666,0.09375,0.04225352112676056,0.0,0.0,0.0
659,AUDL 2015,Felix-Antoine Daigle,Montreal Royal,11.0,96.0,1.0,14.0,142.0,132.0,9.0,1.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.95774647887323,8.727272727272727,10.142857142857142,0.06338028169014084,0.010309278350515464,0.0,0.0,0.0
662,AUDL 2015,Francois-Xavier Hotte,Montreal Royal,32.0,171.0,7.0,21.0,145.0,127.0,16.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.58620689655172,5.34375,6.904761904761905,0.1103448275862069,0.03932584269662921,0.0,0.0,0.0
663,AUDL 2015,Frank Barich,Seattle Cascades,4.0,50.0,0.0,5.0,55.0,48.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.27272727272727,12.5,11.0,0.10909090909090909,0.0,0.0,0.0,0.0
665,AUDL 2015,Frank Wooten,Atlanta Hustle,5.0,46.0,1.0,4.0,64.0,60.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.75,9.2,16.0,0.0625,0.02127659574468085,0.0,0.0,0.0
667,AUDL 2015,Fred Parenteau,Montreal Royal,5.0,113.0,2.0,8.0,151.0,136.0,12.0,3.0,0.0,0.0,0.0,8.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.06622516556291,22.6,18.875,0.07947019867549669,0.017391304347826087,0.0,0.0,0.0
668,AUDL 2015,Gabriel Monfette,Montreal Royal,10.0,87.0,0.0,9.0,116.0,94.0,21.0,1.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.03448275862068,8.7,12.88888888888889,0.1810344827586207,0.0,0.0,0.0,0.0
669,AUDL 2015,Gary Dixon,New York Empire,6.0,331.0,5.0,22.0,409.0,378.0,25.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.42053789731052,55.166666666666664,18.59090909090909,0.061124694376528114,0.01488095238095238,0.0,0.0,0.0
670,AUDL 2015,Geoff Powell,Toronto Rush,27.0,104.0,0.0,10.0,90.0,77.0,12.0,1.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.55555555555556,3.8518518518518516,9.0,0.13333333333333333,0.0,0.0,0.0,0.0
672,AUDL 2015,Glenn Poole,DC Breeze,14.0,204.0,3.0,27.0,225.0,205.0,17.0,1.0,0.0,1.0,1.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.11111111111111,14.571428571428571,8.333333333333334,0.07555555555555556,0.014492753623188406,0.0,0.0,0.0
673,AUDL 2015,Goose Helton,Chicago Wildfire,30.0,273.0,6.0,32.0,296.0,258.0,29.0,9.0,0.0,0.0,0.0,12.0,0.0,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.16216216216216,9.1,9.25,0.09797297297297297,0.021505376344086023,0.0,0.0,0.0
674,AUDL 2015,Gord Harrison,Toronto Rush,12.0,115.0,3.0,16.0,162.0,148.0,11.0,3.0,0.0,0.0,0.0,8.0,0.0,187.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.35802469135803,9.583333333333334,10.125,0.06790123456790123,0.025423728813559324,0.0,0.0,0.0
675,AUDL 2015,Graham Whittington,Charlotte Express,3.0,53.0,0.0,2.0,57.0,49.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.96491228070175,17.666666666666668,28.5,0.12280701754385964,0.0,0.0,0.0,0.0
676,AUDL 2015,Grant Boyd,Los Angeles Aviators,14.0,235.0,0.0,15.0,252.0,236.0,15.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.65079365079364,16.785714285714285,16.8,0.05952380952380952,0.0,0.0,0.0,0.0
678,AUDL 2015,Greg Cohen,San Jose Spiders,26.0,121.0,0.0,15.0,97.0,88.0,9.0,0.0,62.0,0.0,0.0,14.0,0.0,106.0,8.0,54.0,50.0,1086.6999999999996,426.3999999999999,499.0000000000002,4036.6,3771.2,90.72164948453609,4.653846153846154,6.466666666666667,0.09278350515463918,0.0,17.527419354838703,74.75185185185185,75.42399999999999
679,AUDL 2015,Greg Husak,Los Angeles Aviators,25.0,181.0,2.0,13.0,162.0,142.0,18.0,2.0,0.0,0.0,0.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.65432098765432,7.24,12.461538461538462,0.1111111111111111,0.01092896174863388,0.0,0.0,0.0
680,AUDL 2015,Greg Marliave,San Francisco FlameThrowers,34.0,168.0,0.0,20.0,137.0,126.0,9.0,0.0,0.0,1.0,1.0,4.0,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.97080291970804,4.9411764705882355,6.85,0.06569343065693431,0.0,0.0,0.0,0.0
682,AUDL 2015,Gus Misleh,Cincinnati Revolution,38.0,323.0,8.0,32.0,295.0,249.0,41.0,5.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.40677966101696,8.5,9.21875,0.13898305084745763,0.02416918429003021,0.0,0.0,0.0
683,AUDL 2015,Gustavo Castano,Montreal Royal,2.0,344.0,1.0,23.0,432.0,383.0,33.0,15.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6574074074074,172.0,18.782608695652176,0.0763888888888889,0.002898550724637681,0.0,0.0,0.0
684,AUDL 2015,Hans Rasmussen,Indianapolis AlleyCats,13.0,65.0,1.0,7.0,53.0,49.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.45283018867924,5.0,7.571428571428571,0.05660377358490566,0.015151515151515152,0.0,0.0,0.0
685,AUDL 2015,Henry Konker,San Francisco FlameThrowers,13.0,111.0,1.0,12.0,100.0,83.0,13.0,2.0,0.0,0.0,2.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,8.538461538461538,8.333333333333334,0.13,0.008928571428571428,0.0,0.0,0.0
686,AUDL 2015,Hunter Corbet,Los Angeles Aviators,9.0,82.0,0.0,10.0,85.0,77.0,6.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.58823529411765,9.11111111111111,8.5,0.07058823529411765,0.0,0.0,0.0,0.0
689,AUDL 2015,Ian Barry,Charlotte Express,9.0,303.0,3.0,1.0,371.0,351.0,13.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.60916442048517,33.666666666666664,371.0,0.03504043126684636,0.00980392156862745,0.0,0.0,0.0
690,AUDL 2015,Ian Chiles,Los Angeles Aviators,7.0,59.0,3.0,5.0,57.0,53.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.98245614035088,8.428571428571429,11.4,0.05263157894736842,0.04838709677419355,0.0,0.0,0.0
692,AUDL 2015,Isaac Jeffries,Cincinnati Revolution,4.0,128.0,1.0,7.0,135.0,128.0,5.0,2.0,0.0,0.0,0.0,8.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.81481481481482,32.0,19.285714285714285,0.037037037037037035,0.007751937984496124,0.0,0.0,0.0
693,AUDL 2015,Isaac Saul,Pittsburgh Thunderbirds,3.0,279.0,1.0,24.0,394.0,363.0,26.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.13197969543148,93.0,16.416666666666668,0.06598984771573604,0.0035714285714285713,0.0,0.0,0.0
694,AUDL 2015,Isaiah Bryant,New York Empire,5.0,194.0,0.0,34.0,300.0,277.0,17.0,5.0,0.0,0.0,1.0,6.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.33333333333333,38.8,8.823529411764707,0.056666666666666664,0.0,0.0,0.0,0.0
695,AUDL 2015,Isaiah Masek-Kelly,Toronto Rush,55.0,433.0,8.0,57.0,405.0,366.0,29.0,10.0,0.0,0.0,0.0,26.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.37037037037037,7.872727272727273,7.105263157894737,0.07160493827160494,0.018140589569160998,0.0,0.0,0.0
697,AUDL 2015,Jack Krieger,Atlanta Hustle,8.0,70.0,1.0,3.0,63.0,58.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.06349206349206,8.75,21.0,0.06349206349206349,0.014084507042253521,0.0,0.0,0.0
698,AUDL 2015,Jack Marsh,New York Empire,20.0,131.0,2.0,15.0,113.0,95.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.070796460177,6.55,7.533333333333333,0.1504424778761062,0.015037593984962405,0.0,0.0,0.0
699,AUDL 2015,Jack Shey,Chicago Wildfire,17.0,110.0,10.0,3.0,91.0,81.0,8.0,2.0,0.0,0.0,0.0,13.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.01098901098901,6.470588235294118,30.333333333333332,0.08791208791208792,0.08333333333333333,0.0,0.0,0.0
702,AUDL 2015,Jacky Hau,Toronto Rush,15.0,94.0,2.0,8.0,87.0,71.0,16.0,0.0,0.0,0.0,0.0,17.0,0.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.60919540229885,6.266666666666667,10.875,0.1839080459770115,0.020833333333333332,0.0,0.0,0.0
704,AUDL 2015,Jadon Scullion,Madison Radicals,5.0,207.0,4.0,21.0,294.0,278.0,11.0,5.0,71.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,1.0,749.3000000000004,383.1,504.90000000000003,86.8,86.8,94.5578231292517,41.4,14.0,0.03741496598639456,0.018957345971563982,10.55352112676057,86.8,86.8
706,AUDL 2015,Jake McGoogan,Raleigh Flyers,6.0,77.0,2.0,7.0,103.0,98.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.14563106796116,12.833333333333334,14.714285714285714,0.02912621359223301,0.02531645569620253,0.0,0.0,0.0
707,AUDL 2015,Jake Wright,Nashville NightWatch,17.0,196.0,5.0,17.0,207.0,177.0,27.0,3.0,0.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.5072463768116,11.529411764705882,12.176470588235293,0.13043478260869565,0.024875621890547265,0.0,0.0,0.0
708,AUDL 2015,James Greeno,Pittsburgh Thunderbirds,3.0,54.0,0.0,2.0,71.0,63.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.73239436619718,18.0,35.5,0.07042253521126761,0.0,0.0,0.0,0.0
713,AUDL 2015,Jaret Meron,Toronto Rush,7.0,53.0,1.0,6.0,77.0,71.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.20779220779221,7.571428571428571,12.833333333333334,0.07792207792207792,0.018518518518518517,0.0,0.0,0.0
714,AUDL 2015,Jarnail Bajwa,DC Breeze,10.0,467.0,3.0,28.0,569.0,508.0,43.0,13.0,0.0,2.0,3.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.27943760984182,46.7,20.321428571428573,0.07557117750439367,0.006382978723404255,0.0,0.0,0.0
715,AUDL 2015,Jarrett Bowen,Raleigh Flyers,62.0,284.0,10.0,49.0,233.0,204.0,27.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.55364806866953,4.580645161290323,4.755102040816326,0.11587982832618025,0.034013605442176874,0.0,0.0,0.0
717,AUDL 2015,Jason Chow,Nashville NightWatch,1.0,125.0,1.0,1.0,155.0,141.0,9.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.96774193548387,125.0,155.0,0.05806451612903226,0.007936507936507936,0.0,0.0,0.0
718,AUDL 2015,Jason Yoder,Indianapolis AlleyCats,2.0,77.0,0.0,11.0,127.0,119.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7007874015748,38.5,11.545454545454545,0.05511811023622047,0.0,0.0,0.0,0.0
719,AUDL 2015,Jason Yun,San Francisco FlameThrowers,9.0,61.0,3.0,2.0,52.0,41.0,9.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.84615384615384,6.777777777777778,26.0,0.17307692307692307,0.046875,0.0,0.0,0.0
720,AUDL 2015,Javier Ortiz,Nashville NightWatch,18.0,191.0,6.0,9.0,179.0,161.0,12.0,5.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.94413407821229,10.61111111111111,19.88888888888889,0.0670391061452514,0.030456852791878174,0.0,0.0,0.0
721,AUDL 2015,Jay Clark,Atlanta Hustle,26.0,267.0,5.0,19.0,247.0,224.0,19.0,4.0,0.0,0.0,0.0,8.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.68825910931174,10.26923076923077,13.0,0.07692307692307693,0.01838235294117647,0.0,0.0,0.0
722,AUDL 2015,Jay Drescher,Minnesota Wind Chill,9.0,165.0,3.0,27.0,203.0,163.0,33.0,7.0,0.0,0.0,0.0,29.0,0.0,83.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.29556650246306,18.333333333333332,7.518518518518518,0.1625615763546798,0.017857142857142856,0.0,0.0,0.0
723,AUDL 2015,Jay Froude,Madison Radicals,21.0,98.0,2.0,19.0,83.0,69.0,10.0,3.0,9.0,1.0,0.0,29.0,0.0,1.0,0.0,0.0,0.0,147.9,83.0,104.5,0.0,0.0,83.13253012048193,4.666666666666667,4.368421052631579,0.12048192771084337,0.02,16.433333333333334,0.0,0.0
724,AUDL 2015,Jean-Levy Champagne,Montreal Royal,24.0,125.0,2.0,9.0,124.0,107.0,14.0,3.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.29032258064517,5.208333333333333,13.777777777777779,0.11290322580645161,0.015748031496062992,0.0,0.0,0.0
725,AUDL 2015,Jean-Philippe Riopel,Montreal Royal,35.0,103.0,5.0,13.0,73.0,65.0,7.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.04109589041096,2.942857142857143,5.615384615384615,0.0958904109589041,0.046296296296296294,0.0,0.0,0.0
726,AUDL 2015,Jeff Lindquist,Toronto Rush,29.0,340.0,3.0,55.0,342.0,321.0,15.0,6.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.85964912280701,11.724137931034482,6.218181818181818,0.043859649122807015,0.008746355685131196,0.0,0.0,0.0
727,AUDL 2015,Jeff Nordgren,Charlotte Express,20.0,99.0,2.0,11.0,83.0,75.0,6.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.36144578313254,4.95,7.545454545454546,0.07228915662650602,0.019801980198019802,0.0,0.0,0.0
729,AUDL 2015,Jeffrey Silverman,Los Angeles Aviators,8.0,122.0,1.0,8.0,121.0,112.0,8.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.56198347107438,15.25,15.125,0.06611570247933884,0.008130081300813009,0.0,0.0,0.0
730,AUDL 2015,Jeffrey Walker,Jacksonville Cannons,18.0,67.0,3.0,5.0,57.0,52.0,3.0,2.0,0.0,0.0,0.0,10.0,0.0,147.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.22807017543859,3.7222222222222223,11.4,0.05263157894736842,0.04285714285714286,0.0,0.0,0.0
731,AUDL 2015,Jeremy Hill,Ottawa Outlaws,27.0,101.0,6.0,7.0,76.0,65.0,7.0,4.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.52631578947368,3.740740740740741,10.857142857142858,0.09210526315789473,0.056074766355140186,0.0,0.0,0.0
733,AUDL 2015,Jesse Bolton,Minnesota Wind Chill,3.0,80.0,2.0,4.0,87.0,78.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.65517241379311,26.666666666666668,21.75,0.08045977011494253,0.024390243902439025,0.0,0.0,0.0
735,AUDL 2015,Jesse Cohen,San Diego Growlers,37.0,322.0,5.0,29.0,290.0,267.0,18.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.06896551724138,8.702702702702704,10.0,0.06206896551724138,0.01529051987767584,0.0,0.0,0.0
736,AUDL 2015,Jimmy Kittlesen,Minnesota Wind Chill,20.0,103.0,6.0,12.0,88.0,80.0,7.0,1.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,5.15,7.333333333333333,0.07954545454545454,0.05504587155963303,0.0,0.0,0.0
737,AUDL 2015,Jimmy Mickle,San Diego Growlers,26.0,520.0,6.0,61.0,531.0,483.0,33.0,9.0,0.0,1.0,5.0,10.0,0.0,96.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.96045197740112,20.0,8.704918032786885,0.062146892655367235,0.011406844106463879,0.0,0.0,0.0
738,AUDL 2015,Jimmy Robin,Chicago Wildfire,2.0,126.0,0.0,8.0,135.0,127.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,34.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.07407407407408,63.0,16.875,0.05925925925925926,0.0,0.0,0.0,0.0
741,AUDL 2015,Joe Sefton,Seattle Cascades,27.0,220.0,6.0,18.0,212.0,193.0,11.0,5.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0377358490566,8.148148148148149,11.777777777777779,0.05188679245283019,0.02654867256637168,0.0,0.0,0.0
742,AUDL 2015,Joel Bellavance,Vancouver Riptide,19.0,472.0,8.0,58.0,611.0,573.0,26.0,9.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.78068739770868,24.842105263157894,10.53448275862069,0.0425531914893617,0.016666666666666666,0.0,0.0,0.0
