,Away Team,Away Team Score,Date Location,Home Team,Home Team Score,Matchup Link,Year,Date,Time,City,Week,UniversalGameID
75,Rochester Dragons,14,"Sat, 4/27 12:00 PM CDT Philadelphia",Philadelphia Phoenix,26,/league/game/2013-04-27-ROC-PHI,2013,2013-04-27,12:00 PM CDT,Philadelphia,3,75
76,Toronto Rush,22,"Sat, 4/27 6:00 PM CDT New York",New York Empire,14,/league/game/2013-04-27-TOR-NY,2013,2013-04-27,6:00 PM CDT,New York,3,76
77,Chicago Wildfire,25,"Sat, 4/27 7:30 PM CDT Indianapolis",Indianapolis AlleyCats,15,/league/game/2013-04-27-CHI-IND,2013,2013-04-27,7:30 PM CDT,Indianapolis,3,77
78,Detroit Mechanix,15,"Sat, 4/27 7:30 PM CDT Cincinnati",Cincinnati Revolution,11,/league/game/2013-04-27-DET-CIN,2013,2013-04-27,7:30 PM CDT,Cincinnati,3,78
79,Madison Radicals,22,"Sat, 4/27 8:00 PM CDT Minnesota",Minnesota Wind Chill,20,/league/game/2013-04-27-MAD-MIN,2013,2013-04-27,8:00 PM CDT,Minnesota,3,79
80,Rochester Dragons,25,"Sun, 4/28 3:00 PM CDT DC",DC Breeze,26,/league/game/2013-04-28-ROC-DC,2013,2013-04-28,3:00 PM CDT,DC,3,80
81,Toronto Rush,29,"Sun, 4/28 4:00 PM CDT New Jersey",New Jersey Hammerheads,19,/league/game/2013-04-28-TOR-NJH,2013,2013-04-28,4:00 PM CDT,New Jersey,3,81
82,Cincinnati Revolution,16,"Sun, 4/28 4:00 PM CDT Chicago",Chicago Wildfire,23,/league/game/2013-04-28-CIN-CHI,2013,2013-04-28,4:00 PM CDT,Chicago,3,82
83,Minnesota Wind Chill,15,"Fri, 5/3 8:00 PM CDT Madison",Madison Radicals,19,/league/game/2013-05-03-MIN-MAD,2013,2013-05-03,8:00 PM CDT,Madison,4,83
84,New Jersey Hammerheads,18,"Sat, 5/4 7:00 PM CDT Toronto",Toronto Rush,31,/league/game/2013-05-04-NJH-TOR,2013,2013-05-04,7:00 PM CDT,Toronto,4,86
85,Indianapolis AlleyCats,17,"Sat, 5/4 8:00 PM CDT Chicago",Chicago Wildfire,25,/league/game/2013-05-04-IND-CHI,2013,2013-05-04,8:00 PM CDT,Chicago,4,87
86,Minnesota Wind Chill,16,"Sat, 5/4 3:30 PM CDT Detroit",Detroit Mechanix,22,/league/game/2013-05-04-MIN-DET,2013,2013-05-04,3:30 PM CDT,Detroit,4,84
87,DC Breeze,11,"Sat, 5/4 5:00 PM CDT New York",New York Empire,25,/league/game/2013-05-04-DC-NY,2013,2013-05-04,5:00 PM CDT,New York,4,85
88,DC Breeze,18,"Sun, 5/5 1:00 PM CDT Philadelphia",Philadelphia Phoenix,23,/league/game/2013-05-05-DC-PHI,2013,2013-05-05,1:00 PM CDT,Philadelphia,4,88
89,Cincinnati Revolution,23,"Sun, 5/5 2:00 PM CDT Detroit",Detroit Mechanix,22,/league/game/2013-05-05-CIN-DET,2013,2013-05-05,2:00 PM CDT,Detroit,4,89
90,New Jersey Hammerheads,15,"Sun, 5/5 2:00 PM CDT Rochester",Rochester Dragons,20,/league/game/2013-05-05-NJH-ROC,2013,2013-05-05,2:00 PM CDT,Rochester,4,90
91,New York Empire,20,"Sat, 5/11 7:00 PM CDT Rochester",Rochester Dragons,21,/league/game/2013-05-11-NY-ROC,2013,2013-05-11,7:00 PM CDT,Rochester,5,91
92,Chicago Wildfire,18,"Sat, 5/11 8:00 PM CDT Minnesota",Minnesota Wind Chill,15,/league/game/2013-05-11-CHI-MIN,2013,2013-05-11,8:00 PM CDT,Minnesota,5,92
93,New York Empire,9,"Sun, 5/12 4:00 PM CDT Toronto",Toronto Rush,16,/league/game/2013-05-12-NY-TOR,2013,2013-05-12,4:00 PM CDT,Toronto,5,96
94,Chicago Wildfire,16,"Sun, 5/12 4:00 PM CDT Madison",Madison Radicals,15,/league/game/2013-05-12-CHI-MAD,2013,2013-05-12,4:00 PM CDT,Madison,5,95
95,Detroit Mechanix,10,"Sun, 5/12 2:30 PM CDT Cincinnati",Cincinnati Revolution,17,/league/game/2013-05-12-DET-CIN,2013,2013-05-12,2:30 PM CDT,Cincinnati,5,93
96,New Jersey Hammerheads,13,"Sun, 5/12 3:00 PM CDT DC",DC Breeze,18,/league/game/2013-05-12-NJH-DC,2013,2013-05-12,3:00 PM CDT,DC,5,94
97,Philadelphia Phoenix,18,"Sat, 5/18 1:00 PM CDT DC",DC Breeze,17,/league/game/2013-05-18-PHI-DC,2013,2013-05-18,1:00 PM CDT,DC,6,97
98,Detroit Mechanix,6,"Sat, 5/18 3:00 PM CDT Minnesota",Minnesota Wind Chill,20,/league/game/2013-05-18-DET-MIN,2013,2013-05-18,3:00 PM CDT,Minnesota,6,98
99,New York Empire,24,"Sat, 5/18 7:00 PM CDT New Jersey",New Jersey Hammerheads,16,/league/game/2013-05-18-NY-NJH,2013,2013-05-18,7:00 PM CDT,New Jersey,6,99
100,Toronto Rush,28,"Sat, 5/18 7:00 PM CDT Rochester",Rochester Dragons,21,/league/game/2013-05-18-TOR-ROC,2013,2013-05-18,7:00 PM CDT,Rochester,6,100
101,Cincinnati Revolution,21,"Sat, 5/18 7:30 PM CDT Indianapolis",Indianapolis AlleyCats,28,/league/game/2013-05-18-CIN-IND,2013,2013-05-18,7:30 PM CDT,Indianapolis,6,101
102,Detroit Mechanix,16,"Sat, 5/18 8:00 PM CDT Madison",Madison Radicals,26,/league/game/2013-05-18-DET-MAD,2013,2013-05-18,8:00 PM CDT,Madison,6,102
103,Minnesota Wind Chill,23,"Fri, 5/24 8:00 PM CDT Madison",Madison Radicals,27,/league/game/2013-05-24-MIN-MAD,2013,2013-05-24,8:00 PM CDT,Madison,7,103
104,Indianapolis AlleyCats,27,"Sat, 5/25 7:30 PM CDT Cincinnati",Cincinnati Revolution,21,/league/game/2013-05-25-IND-CIN,2013,2013-05-25,7:30 PM CDT,Cincinnati,7,107
105,Philadelphia Phoenix,20,"Sat, 5/25 7:00 PM CDT New Jersey",New Jersey Hammerheads,15,/league/game/2013-05-25-PHI-NJH,2013,2013-05-25,7:00 PM CDT,New Jersey,7,106
106,Rochester Dragons,16,"Sat, 5/25 1:00 PM CDT DC",DC Breeze,14,/league/game/2013-05-25-ROC-DC,2013,2013-05-25,1:00 PM CDT,DC,7,104
107,Chicago Wildfire,23,"Sat, 5/25 7:00 PM CDT Detroit",Detroit Mechanix,19,/league/game/2013-05-25-CHI-DET,2013,2013-05-25,7:00 PM CDT,Detroit,7,105
108,Rochester Dragons,16,"Sun, 5/26 1:00 PM CDT Philadelphia",Philadelphia Phoenix,17,/league/game/2013-05-26-ROC-PHI,2013,2013-05-26,1:00 PM CDT,Philadelphia,7,108
109,Indianapolis AlleyCats,23,"Sun, 5/26 2:30 PM CDT Cincinnati",Cincinnati Revolution,19,/league/game/2013-05-26-IND-CIN,2013,2013-05-26,2:30 PM CDT,Cincinnati,7,109
110,Philadelphia Phoenix,18,"Sat, 6/1 4:00 PM CDT Toronto",Toronto Rush,28,/league/game/2013-06-01-PHI-TOR,2013,2013-06-01,4:00 PM CDT,Toronto,8,110
111,DC Breeze,22,"Sat, 6/1 7:00 PM CDT New Jersey",New Jersey Hammerheads,20,/league/game/2013-06-01-DC-NJH,2013,2013-06-01,7:00 PM CDT,New Jersey,8,111
112,Cincinnati Revolution,9,"Sat, 6/1 8:00 PM CDT Minnesota",Minnesota Wind Chill,26,/league/game/2013-06-01-CIN-MIN,2013,2013-06-01,8:00 PM CDT,Minnesota,8,112
113,Philadelphia Phoenix,12,"Sun, 6/2 2:00 PM CDT Rochester",Rochester Dragons,14,/league/game/2013-06-02-PHI-ROC,2013,2013-06-02,2:00 PM CDT,Rochester,8,113
114,DC Breeze,13,"Sun, 6/2 3:00 PM CDT New York",New York Empire,23,/league/game/2013-06-02-DC-NY,2013,2013-06-02,3:00 PM CDT,New York,8,114
115,Cincinnati Revolution,20,"Sun, 6/2 4:00 PM CDT Madison",Madison Radicals,26,/league/game/2013-06-02-CIN-MAD,2013,2013-06-02,4:00 PM CDT,Madison,8,115
116,Chicago Wildfire,26,"Sun, 6/2 7:30 PM CDT Indianapolis",Indianapolis AlleyCats,22,/league/game/2013-06-02-CHI-IND,2013,2013-06-02,7:30 PM CDT,Indianapolis,8,116
117,Madison Radicals,25,"Fri, 6/7 8:00 PM CDT Minnesota",Minnesota Wind Chill,24,/league/game/2013-06-07-MAD-MIN,2013,2013-06-07,8:00 PM CDT,Minnesota,9,117
118,DC Breeze,27,"Sat, 6/8 3:30 PM CDT Philadelphia",Philadelphia Phoenix,31,/league/game/2013-06-08-DC-PHI,2013,2013-06-08,3:30 PM CDT,Philadelphia,9,118
119,New Jersey Hammerheads,20,"Sat, 6/8 7:00 PM CDT Rochester",Rochester Dragons,26,/league/game/2013-06-08-NJH-ROC,2013,2013-06-08,7:00 PM CDT,Rochester,9,119
120,Detroit Mechanix,9,"Sat, 6/8 8:00 PM CDT Chicago",Chicago Wildfire,21,/league/game/2013-06-08-DET-CHI,2013,2013-06-08,8:00 PM CDT,Chicago,9,120
121,Detroit Mechanix,23,"Sun, 6/9 7:30 PM CDT Indianapolis",Indianapolis AlleyCats,27,/league/game/2013-06-09-DET-IND,2013,2013-06-09,7:30 PM CDT,Indianapolis,9,123
122,Philadelphia Phoenix,18,"Sun, 6/9 5:00 PM CDT New York",New York Empire,19,/league/game/2013-06-09-PHI-NY,2013,2013-06-09,5:00 PM CDT,New York,9,122
123,New Jersey Hammerheads,15,"Sun, 6/9 2:00 PM CDT Toronto",Toronto Rush,33,/league/game/2013-06-09-NJH-TOR,2013,2013-06-09,2:00 PM CDT,Toronto,9,121
124,New York Empire,21,"Sat, 6/15 3:30 PM CDT Philadelphia",Philadelphia Phoenix,17,/league/game/2013-06-15-NY-PHI,2013,2013-06-15,3:30 PM CDT,Philadelphia,10,124
125,Madison Radicals,21,"Sat, 6/15 7:30 PM CDT Cincinnati",Cincinnati Revolution,23,/league/game/2013-06-15-MAD-CIN,2013,2013-06-15,7:30 PM CDT,Cincinnati,10,125
126,Minnesota Wind Chill,25,"Sat, 6/15 8:00 PM CDT Chicago",Chicago Wildfire,26,/league/game/2013-06-15-MIN-CHI,2013,2013-06-15,8:00 PM CDT,Chicago,10,126
127,Rochester Dragons,22,"Sun, 6/16 2:00 PM CDT Toronto",Toronto Rush,25,/league/game/2013-06-16-ROC-TOR,2013,2013-06-16,2:00 PM CDT,Toronto,10,127
128,New York Empire,19,"Sun, 6/16 3:00 PM CDT DC",DC Breeze,16,/league/game/2013-06-16-NY-DC,2013,2013-06-16,3:00 PM CDT,DC,10,128
129,Philadelphia Phoenix,21,"Sun, 6/16 4:00 PM CDT New Jersey",New Jersey Hammerheads,17,/league/game/2013-06-16-PHI-NJH,2013,2013-06-16,4:00 PM CDT,New Jersey,10,129
130,Madison Radicals,24,"Sun, 6/16 7:30 PM CDT Indianapolis",Indianapolis AlleyCats,22,/league/game/2013-06-16-MAD-IND,2013,2013-06-16,7:30 PM CDT,Indianapolis,10,130
131,Chicago Wildfire,34,"Sat, 6/22 4:00 PM CDT Detroit",Detroit Mechanix,26,/league/game/2013-06-22-CHI-DET,2013,2013-06-22,4:00 PM CDT,Detroit,11,131
132,DC Breeze,16,"Sat, 6/22 4:00 PM CDT Toronto",Toronto Rush,40,/league/game/2013-06-22-DC-TOR,2013,2013-06-22,4:00 PM CDT,Toronto,11,132
133,Philadelphia Phoenix,22,"Sat, 6/22 6:00 PM CDT New York",New York Empire,23,/league/game/2013-06-22-PHI-NY,2013,2013-06-22,6:00 PM CDT,New York,11,133
134,Indianapolis AlleyCats,16,"Sat, 6/22 8:00 PM CDT Madison",Madison Radicals,20,/league/game/2013-06-22-IND-MAD,2013,2013-06-22,8:00 PM CDT,Madison,11,134
135,DC Breeze,20,"Sun, 6/23 2:00 PM CDT Rochester",Rochester Dragons,24,/league/game/2013-06-23-DC-ROC,2013,2013-06-23,2:00 PM CDT,Rochester,11,135
136,Chicago Wildfire,20,"Sun, 6/23 2:30 PM CDT Cincinnati",Cincinnati Revolution,17,/league/game/2013-06-23-CHI-CIN,2013,2013-06-23,2:30 PM CDT,Cincinnati,11,136
137,Indianapolis AlleyCats,29,"Sun, 6/23 3:00 PM CDT Minnesota",Minnesota Wind Chill,21,/league/game/2013-06-23-IND-MIN,2013,2013-06-23,3:00 PM CDT,Minnesota,11,137
138,New York Empire,18,"Sun, 6/23 4:00 PM CDT New Jersey",New Jersey Hammerheads,21,/league/game/2013-06-23-NY-NJH,2013,2013-06-23,4:00 PM CDT,New Jersey,11,138
139,Detroit Mechanix,17,"Sat, 6/29 7:30 PM CDT Indianapolis",Indianapolis AlleyCats,24,/league/game/2013-06-29-DET-IND,2013,2013-06-29,7:30 PM CDT,Indianapolis,12,144
140,Cincinnati Revolution,24,"Sat, 6/29 7:00 PM CDT Minnesota",Minnesota Wind Chill,35,/league/game/2013-06-29-CIN-MIN,2013,2013-06-29,7:00 PM CDT,Minnesota,12,142
141,Madison Radicals,15,"Sat, 6/29 7:00 PM CDT Chicago",Chicago Wildfire,13,/league/game/2013-06-29-MAD-CHI,2013,2013-06-29,7:00 PM CDT,Chicago,12,143
142,New Jersey Hammerheads,9,"Sat, 6/29 3:00 PM CDT New York",New York Empire,22,/league/game/2013-06-29-NJH-NY,2013,2013-06-29,3:00 PM CDT,New York,12,140
143,Rochester Dragons,18,"Sat, 6/29 4:00 PM CDT Toronto",Toronto Rush,28,/league/game/2013-06-29-ROC-TOR,2013,2013-06-29,4:00 PM CDT,Toronto,12,141
144,Philadelphia Phoenix,23,"Sat, 6/29 1:00 PM CDT DC",DC Breeze,21,/league/game/2013-06-29-PHI-DC,2013,2013-06-29,1:00 PM CDT,DC,12,139
145,New Jersey Hammerheads,17,"Sun, 6/30 1:00 PM CDT Philadelphia",Philadelphia Phoenix,20,/league/game/2013-06-30-NJH-PHI,2013,2013-06-30,1:00 PM CDT,Philadelphia,12,145
146,Toronto Rush,26,"Sun, 6/30 2:00 PM CDT Rochester",Rochester Dragons,20,/league/game/2013-06-30-TOR-ROC,2013,2013-06-30,2:00 PM CDT,Rochester,12,146
147,Madison Radicals,29,"Sun, 6/30 4:00 PM CDT Detroit",Detroit Mechanix,22,/league/game/2013-06-30-MAD-DET,2013,2013-06-30,4:00 PM CDT,Detroit,12,147
148,Minnesota Wind Chill,13,"Fri, 7/5 8:00 PM CDT Chicago",Chicago Wildfire,28,/league/game/2013-07-05-MIN-CHI,2013,2013-07-05,8:00 PM CDT,Chicago,13,148
149,Cincinnati Revolution,18,"Sat, 7/6 8:00 PM CDT Madison",Madison Radicals,28,/league/game/2013-07-06-CIN-MAD,2013,2013-07-06,8:00 PM CDT,Madison,13,152
150,Minnesota Wind Chill,9,"Sat, 7/6 7:30 PM CDT Indianapolis",Indianapolis AlleyCats,29,/league/game/2013-07-06-MIN-IND,2013,2013-07-06,7:30 PM CDT,Indianapolis,13,151
151,DC Breeze,24,"Sat, 7/6 7:00 PM CDT New Jersey",New Jersey Hammerheads,17,/league/game/2013-07-06-DC-NJH,2013,2013-07-06,7:00 PM CDT,New Jersey,13,150
152,New York Empire,27,"Sat, 7/6 7:00 PM CDT Rochester",Rochester Dragons,22,/league/game/2013-07-06-NY-ROC,2013,2013-07-06,7:00 PM CDT,Rochester,13,149
153,New York Empire,16,"Sun, 7/7 4:00 PM CDT Toronto",Toronto Rush,28,/league/game/2013-07-07-NY-TOR,2013,2013-07-07,4:00 PM CDT,Toronto,13,153
154,Cincinnati Revolution,16,"Sun, 7/7 4:00 PM CDT Detroit",Detroit Mechanix,17,/league/game/2013-07-07-CIN-DET,2013,2013-07-07,4:00 PM CDT,Detroit,13,154
155,Detroit Mechanix,19,"Fri, 7/12 8:00 PM CDT Chicago",Chicago Wildfire,32,/league/game/2013-07-12-DET-CHI,2013,2013-07-12,8:00 PM CDT,Chicago,14,155
156,Toronto Rush,31,"Sat, 7/13 1:00 PM CDT DC",DC Breeze,17,/league/game/2013-07-13-TOR-DC,2013,2013-07-13,1:00 PM CDT,DC,14,156
157,New Jersey Hammerheads,16,"Sat, 7/13 5:00 PM CDT New York",New York Empire,25,/league/game/2013-07-13-NJH-NY,2013,2013-07-13,5:00 PM CDT,New York,14,157
158,Indianapolis AlleyCats,24,"Sat, 7/13 8:00 PM CDT Minnesota",Minnesota Wind Chill,18,/league/game/2013-07-13-IND-MIN,2013,2013-07-13,8:00 PM CDT,Minnesota,14,158
159,Indianapolis AlleyCats,23,"Sun, 7/14 4:00 PM CDT Madison",Madison Radicals,25,/league/game/2013-07-14-IND-MAD,2013,2013-07-14,4:00 PM CDT,Madison,14,160
160,Toronto Rush,35,"Sun, 7/14 1:00 PM CDT Philadelphia",Philadelphia Phoenix,24,/league/game/2013-07-14-TOR-PHI,2013,2013-07-14,1:00 PM CDT,Philadelphia,14,159
161,Philadelphia Phoenix,13,"Fri, 7/26 7:00 PM CDT New York",New York Empire,21,/league/game/2013-07-26-PHI-NY,2013,2013-07-26,7:00 PM CDT,New York,16,161
162,Indianapolis AlleyCats,15,"Sat, 7/27 1:00 PM CDT Madison",Madison Radicals,18,/league/game/2013-07-27-IND-MAD,2013,2013-07-27,1:00 PM CDT,Madison,16,162
163,Madison Radicals,21,"Sat, 8/3 3:00 PM CDT Chicago",Chicago Wildfire,15,/league/game/2013-08-03-MAD-CHI,2013,2013-08-03,3:00 PM CDT,Chicago,17,163
164,New York Empire,18,"Sat, 8/3 7:00 PM CDT Toronto",Toronto Rush,25,/league/game/2013-08-03-NY-TOR,2013,2013-08-03,7:00 PM CDT,Toronto,17,164
165,Madison Radicals,14,"Sun, 8/4 2:00 PM CDT Toronto",Toronto Rush,16,/league/game/2013-08-04-MAD-TOR,2013,2013-08-04,2:00 PM CDT,Toronto,17,165
166,Madison Radicals,25,"Sat, 4/12 7:00 PM CDT Cincinnati",Cincinnati Revolution,16,/league/game/2014-04-12-MAD-CIN,2014,2014-04-12,7:00 PM CDT,Cincinnati,1,169
167,San Francisco FlameThrowers,16,"Sat, 4/12 7:00 PM CDT San Jose",San Jose Spiders,20,/league/game/2014-04-12-SF-SJ,2014,2014-04-12,7:00 PM CDT,San Jose,1,171
168,Minnesota Wind Chill,30,"Sat, 4/12 7:00 PM CDT Detroit",Detroit Mechanix,21,/league/game/2014-04-12-MIN-DET,2014,2014-04-12,7:00 PM CDT,Detroit,1,170
169,Toronto Rush,20,"Sat, 4/12 7:00 PM CDT DC",DC Breeze,19,/league/game/2014-04-12-TOR-DC,2014,2014-04-12,7:00 PM CDT,DC,1,168
170,Vancouver Riptide,29,"Sat, 4/12 7:00 PM CDT Salt Lake",Salt Lake Lions,14,/league/game/2014-04-12-VAN-SLC,2014,2014-04-12,7:00 PM CDT,Salt Lake,1,167
171,Rochester Dragons,13,"Sat, 4/12 7:00 PM CDT Philadelphia",Philadelphia Phoenix,10,/league/game/2014-04-12-ROC-PHI,2014,2014-04-12,7:00 PM CDT,Philadelphia,1,166
172,Toronto Rush,22,"Sun, 4/13 7:00 PM CDT New York",New York Empire,20,/league/game/2014-04-13-TOR-NY,2014,2014-04-13,7:00 PM CDT,New York,1,172
173,Madison Radicals,26,"Sun, 4/13 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,21,/league/game/2014-04-13-MAD-IND,2014,2014-04-13,7:00 PM CDT,Indianapolis,1,173
174,Vancouver Riptide,21,"Sun, 4/13 7:00 PM CDT Salt Lake",Salt Lake Lions,12,/league/game/2014-04-13-VAN-SLC,2014,2014-04-13,7:00 PM CDT,Salt Lake,1,174
175,Minnesota Wind Chill,19,"Sun, 4/13 7:00 PM CDT Chicago",Chicago Wildfire,27,/league/game/2014-04-13-MIN-CHI,2014,2014-04-13,7:00 PM CDT,Chicago,1,175
176,Chicago Wildfire,22,"Fri, 4/18 7:00 PM CDT Cincinnati",Cincinnati Revolution,23,/league/game/2014-04-18-CHI-CIN,2014,2014-04-18,7:00 PM CDT,Cincinnati,2,176
177,Salt Lake Lions,9,"Sat, 4/19 7:00 PM CDT San Francisco",San Francisco FlameThrowers,32,/league/game/2014-04-19-SLC-SF,2014,2014-04-19,7:00 PM CDT,San Francisco,2,181
178,Toronto Rush,22,"Sat, 4/19 7:00 PM CDT Montreal",Montreal Royal,14,/league/game/2014-04-19-TOR-MTL,2014,2014-04-19,7:00 PM CDT,Montreal,2,180
179,Seattle Cascades,19,"Sat, 4/19 7:00 PM CDT Vancouver",Vancouver Riptide,24,/league/game/2014-04-19-SEA-VAN,2014,2014-04-19,7:00 PM CDT,Vancouver,2,177
180,Chicago Wildfire,19,"Sat, 4/19 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,25,/league/game/2014-04-19-CHI-IND,2014,2014-04-19,7:00 PM CDT,Indianapolis,2,178
181,Madison Radicals,34,"Sat, 4/19 7:00 PM CDT Detroit",Detroit Mechanix,9,/league/game/2014-04-19-MAD-DET,2014,2014-04-19,7:00 PM CDT,Detroit,2,179
182,Salt Lake Lions,18,"Sun, 4/20 7:00 PM CDT San Jose",San Jose Spiders,37,/league/game/2014-04-20-SLC-SJ,2014,2014-04-20,7:00 PM CDT,San Jose,2,182
183,Madison Radicals,20,"Fri, 4/25 7:00 PM CDT Minnesota",Minnesota Wind Chill,23,/league/game/2014-04-25-MAD-MIN,2014,2014-04-25,7:00 PM CDT,Minnesota,3,183
184,Cincinnati Revolution,12,"Sat, 4/26 7:00 PM CDT Chicago",Chicago Wildfire,27,/league/game/2014-04-26-CIN-CHI,2014,2014-04-26,7:00 PM CDT,Chicago,3,184
185,Indianapolis AlleyCats,22,"Sat, 4/26 7:00 PM CDT Detroit",Detroit Mechanix,16,/league/game/2014-04-26-IND-DET,2014,2014-04-26,7:00 PM CDT,Detroit,3,185
186,Rochester Dragons,8,"Sat, 4/26 7:00 PM CDT New York",New York Empire,27,/league/game/2014-04-26-ROC-NY,2014,2014-04-26,7:00 PM CDT,New York,3,186
187,San Jose Spiders,31,"Sat, 4/26 7:00 PM CDT Salt Lake",Salt Lake Lions,20,/league/game/2014-04-26-SJ-SLC,2014,2014-04-26,7:00 PM CDT,Salt Lake,3,187
188,Cincinnati Revolution,12,"Sat, 4/26 7:00 PM CDT Chicago",Chicago Wildfire,27,/league/game/2014-04-26-CIN-CHI,2014,2014-04-26,7:00 PM CDT,Chicago,3,188
189,Rochester Dragons,22,"Sun, 4/27 7:00 PM CDT DC",DC Breeze,30,/league/game/2014-04-27-ROC-DC,2014,2014-04-27,7:00 PM CDT,DC,3,189
190,San Francisco FlameThrowers,29,"Sun, 4/27 7:00 PM CDT Vancouver",Vancouver Riptide,20,/league/game/2014-04-27-SF-VAN,2014,2014-04-27,7:00 PM CDT,Vancouver,3,190
191,Detroit Mechanix,13,"Fri, 5/2 7:00 PM CDT Cincinnati",Cincinnati Revolution,25,/league/game/2014-05-02-DET-CIN,2014,2014-05-02,7:00 PM CDT,Cincinnati,4,191
192,Seattle Cascades,20,"Sat, 5/3 7:00 PM CDT San Jose",San Jose Spiders,25,/league/game/2014-05-03-SEA-SJ,2014,2014-05-03,7:00 PM CDT,San Jose,4,197
193,New York Empire,17,"Sat, 5/3 7:00 PM CDT Montreal",Montreal Royal,16,/league/game/2014-05-03-NY-MTL,2014,2014-05-03,7:00 PM CDT,Montreal,4,195
194,Rochester Dragons,11,"Sat, 5/3 7:00 PM CDT Toronto",Toronto Rush,26,/league/game/2014-05-03-ROC-TOR,2014,2014-05-03,7:00 PM CDT,Toronto,4,196
195,DC Breeze,30,"Sat, 5/3 7:00 PM CDT Philadelphia",Philadelphia Phoenix,22,/league/game/2014-05-03-DC-PHI,2014,2014-05-03,7:00 PM CDT,Philadelphia,4,193
196,Indianapolis AlleyCats,18,"Sat, 5/3 7:00 PM CDT Madison",Madison Radicals,27,/league/game/2014-05-03-IND-MAD,2014,2014-05-03,7:00 PM CDT,Madison,4,192
197,Detroit Mechanix,9,"Sat, 5/3 7:00 PM CDT Chicago",Chicago Wildfire,18,/league/game/2014-05-03-DET-CHI,2014,2014-05-03,7:00 PM CDT,Chicago,4,194
198,Indianapolis AlleyCats,22,"Sun, 5/4 7:00 PM CDT Minnesota",Minnesota Wind Chill,21,/league/game/2014-05-04-IND-MIN,2014,2014-05-04,7:00 PM CDT,Minnesota,4,198
199,Philadelphia Phoenix,19,"Sun, 5/4 7:00 PM CDT DC",DC Breeze,28,/league/game/2014-05-04-PHI-DC,2014,2014-05-04,7:00 PM CDT,DC,4,199
200,Seattle Cascades,16,"Sun, 5/4 7:00 PM CDT San Francisco",San Francisco FlameThrowers,29,/league/game/2014-05-04-SEA-SF,2014,2014-05-04,7:00 PM CDT,San Francisco,4,200
201,Indianapolis AlleyCats,19,"Fri, 5/9 7:00 PM CDT Chicago",Chicago Wildfire,20,/league/game/2014-05-09-IND-CHI,2014,2014-05-09,7:00 PM CDT,Chicago,5,201
202,Minnesota Wind Chill,15,"Fri, 5/9 7:00 PM CDT Madison",Madison Radicals,22,/league/game/2014-05-09-MIN-MAD,2014,2014-05-09,7:00 PM CDT,Madison,5,202
203,Cincinnati Revolution,20,"Sat, 5/10 7:00 PM CDT Detroit",Detroit Mechanix,15,/league/game/2014-05-10-CIN-DET,2014,2014-05-10,7:00 PM CDT,Detroit,5,208
204,Minnesota Wind Chill,24,"Sat, 5/10 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,25,/league/game/2014-05-10-MIN-IND,2014,2014-05-10,7:00 PM CDT,Indianapolis,5,207
205,Philadelphia Phoenix,10,"Sat, 5/10 7:00 PM CDT New York",New York Empire,20,/league/game/2014-05-10-PHI-NY,2014,2014-05-10,7:00 PM CDT,New York,5,206
206,Minnesota Wind Chill,24,"Sat, 5/10 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,25,/league/game/2014-05-10-MIN-IND,2014,2014-05-10,7:00 PM CDT,Indianapolis,5,203
207,Cincinnati Revolution,20,"Sat, 5/10 7:00 PM CDT Detroit",Detroit Mechanix,15,/league/game/2014-05-10-CIN-DET,2014,2014-05-10,7:00 PM CDT,Detroit,5,204
208,Toronto Rush,30,"Sat, 5/10 7:00 PM CDT Rochester",Rochester Dragons,18,/league/game/2014-05-10-TOR-ROC,2014,2014-05-10,7:00 PM CDT,Rochester,5,205
209,San Jose Spiders,23,"Sun, 5/11 7:00 PM CDT Seattle",Seattle Cascades,14,/league/game/2014-05-11-SJ-SEA,2014,2014-05-11,7:00 PM CDT,Seattle,5,209
210,Indianapolis AlleyCats,24,"Fri, 5/16 7:00 PM CDT Cincinnati",Cincinnati Revolution,20,/league/game/2014-05-16-IND-CIN,2014,2014-05-16,7:00 PM CDT,Cincinnati,6,210
211,Detroit Mechanix,22,"Sat, 5/17 7:00 PM CDT Indianapolis",Indianapolis AlleyCats,30,/league/game/2014-05-17-DET-IND,2014,2014-05-17,7:00 PM CDT,Indianapolis,6,215
212,Salt Lake Lions,28,"Sat, 5/17 7:00 PM CDT Vancouver",Vancouver Riptide,40,/league/game/2014-05-17-SLC-VAN,2014,2014-05-17,7:00 PM CDT,Vancouver,6,213
213,San Jose Spiders,21,"Sat, 5/17 7:00 PM CDT San Francisco",San Francisco FlameThrowers,22,/league/game/2014-05-17-SJ-SF,2014,2014-05-17,7:00 PM CDT,San Francisco,6,214
214,New York Empire,24,"Sat, 5/17 7:00 PM CDT Rochester",Rochester Dragons,13,/league/game/2014-05-17-NY-ROC,2014,2014-05-17,7:00 PM CDT,Rochester,6,211
215,Chicago Wildfire,31,"Sat, 5/17 7:00 PM CDT Minnesota",Minnesota Wind Chill,20,/league/game/2014-05-17-CHI-MIN,2014,2014-05-17,7:00 PM CDT,Minnesota,6,212
